datum,dag,meetdag
01/10/2024,dinsdag,nee
02/10/2024,woensdag,nee
03/10/2024,donderdag,nee
04/10/2024,vrijdag,nee
05/10/2024,zaterdag,nee
06/10/2024,zondag,nee
07/10/2024,maandag,nee
08/10/2024,dinsdag,nee
09/10/2024,woensdag,nee
10/10/2024,donderdag,nee
11/10/2024,vrijdag,nee
12/10/2024,zaterdag,nee
13/10/2024,zondag,nee
14/10/2024,maandag,nee
15/10/2024,dinsdag,ja
16/10/2024,woensdag,nee
17/10/2024,donderdag,nee
18/10/2024,vrijdag,nee
19/10/2024,zaterdag,nee
20/10/2024,zondag,nee
21/10/2024,maandag,nee
22/10/2024,dinsdag,ja
23/10/2024,woensdag,nee
24/10/2024,donderdag,nee
25/10/2024,vrijdag,nee
26/10/2024,zaterdag,nee
27/10/2024,zondag,nee
28/10/2024,maandag,nee
29/10/2024,dinsdag,ja
30/10/2024,woensdag,nee
31/10/2024,donderdag,nee
01/11/2024,vrijdag,nee
02/11/2024,zaterdag,nee
03/11/2024,zondag,nee
04/11/2024,maandag,nee
05/11/2024,dinsdag,ja
06/11/2024,woensdag,nee
07/11/2024,donderdag,nee
08/11/2024,vrijdag,nee
09/11/2024,zaterdag,nee
10/11/2024,zondag,nee
11/11/2024,maandag,nee
12/11/2024,dinsdag,ja
13/11/2024,woensdag,nee
14/11/2024,donderdag,nee
15/11/2024,vrijdag,nee
16/11/2024,zaterdag,nee
17/11/2024,zondag,nee
18/11/2024,maandag,nee
19/11/2024,dinsdag,nee
20/11/2024,woensdag,nee
21/11/2024,donderdag,nee
22/11/2024,vrijdag,nee
23/11/2024,zaterdag,nee
24/11/2024,zondag,nee
25/11/2024,maandag,nee
26/11/2024,dinsdag,ja
27/11/2024,woensdag,nee
28/11/2024,donderdag,nee
29/11/2024,vrijdag,nee
30/11/2024,zaterdag,nee
01/12/2024,zondag,nee
02/12/2024,maandag,nee
03/12/2024,dinsdag,nee
04/12/2024,woensdag,nee
05/12/2024,donderdag,nee
06/12/2024,vrijdag,nee
07/12/2024,zaterdag,nee
08/12/2024,zondag,nee
09/12/2024,maandag,nee
10/12/2024,dinsdag,nee
11/12/2024,woensdag,nee
12/12/2024,donderdag,nee
13/12/2024,vrijdag,nee
14/12/2024,zaterdag,nee
15/12/2024,zondag,nee
16/12/2024,maandag,nee
17/12/2024,dinsdag,nee
18/12/2024,woensdag,nee
19/12/2024,donderdag,nee
20/12/2024,vrijdag,nee
21/12/2024,zaterdag,nee
22/12/2024,zondag,nee
23/12/2024,maandag,nee
24/12/2024,dinsdag,nee
25/12/2024,woensdag,nee
26/12/2024,donderdag,nee
27/12/2024,vrijdag,nee
28/12/2024,zaterdag,nee
29/12/2024,zondag,nee
30/12/2024,maandag,nee
31/12/2024,dinsdag,nee
