Tijdstip;Datum;Reistijd;Richting
05:00;15/09/2023;3,633;Vanuit O
05:00;16/09/2023;2,083;Vanuit O
05:00;17/09/2023;2,017;Vanuit O
05:00;18/09/2023;7,333;Vanuit O
05:00;19/09/2023;6,767;Vanuit O
05:00;20/09/2023;6,567;Vanuit O
05:00;21/09/2023;4,317;Vanuit O
05:00;22/09/2023;3,833;Vanuit O
05:00;23/09/2023;2,2;Vanuit O
05:00;24/09/2023;1,967;Vanuit O
05:00;25/09/2023;3,117;Vanuit O
05:00;26/09/2023;5,95;Vanuit O
05:00;27/09/2023;7,55;Vanuit O
05:00;28/09/2023;5,6;Vanuit O
05:00;29/09/2023;5,683;Vanuit O
05:00;30/09/2023;2,017;Vanuit O
05:00;01/10/2023;2,3;Vanuit O
05:00;02/10/2023;8,85;Vanuit O
05:00;03/10/2023;6,183;Vanuit O
05:00;04/10/2023;5,317;Vanuit O
05:00;05/10/2023;6,7;Vanuit O
05:00;06/10/2023;5,283;Vanuit O
05:00;07/10/2023;1,983;Vanuit O
05:00;08/10/2023;2,35;Vanuit O
05:00;09/10/2023;6,017;Vanuit O
05:00;10/10/2023;10,75;Vanuit O
05:00;11/10/2023;8,283;Vanuit O
05:00;12/10/2023;8,467;Vanuit O
05:00;13/10/2023;9,617;Vanuit O
05:00;14/10/2023;2,217;Vanuit O
05:00;15/10/2023;2,05;Vanuit O
05:00;16/10/2023;5,583;Vanuit O
05:00;17/10/2023;7,417;Vanuit O
05:00;18/10/2023;10,45;Vanuit O
05:00;19/10/2023;8,1;Vanuit O
05:00;20/10/2023;9,583;Vanuit O
05:00;21/10/2023;2,167;Vanuit O
05:00;22/10/2023;2;Vanuit O
05:00;23/10/2023;11,067;Vanuit O
05:00;24/10/2023;5,167;Vanuit O
05:00;25/10/2023;4,817;Vanuit O
05:00;26/10/2023;5,783;Vanuit O
05:00;27/10/2023;6,7;Vanuit O
05:00;28/10/2023;1,967;Vanuit O
05:00;29/10/2023;1,967;Vanuit O
05:00;30/10/2023;2,217;Vanuit O
05:00;31/10/2023;2,333;Vanuit O
05:00;01/11/2023;2,2;Vanuit O
05:00;02/11/2023;2,6;Vanuit O
05:00;03/11/2023;2,533;Vanuit O
05:00;04/11/2023;2,233;Vanuit O
05:00;05/11/2023;1,983;Vanuit O
05:00;06/11/2023;2,55;Vanuit O
05:00;07/11/2023;2,35;Vanuit O
05:00;08/11/2023;2,25;Vanuit O
05:00;09/11/2023;2,65;Vanuit O
05:00;10/11/2023;2,317;Vanuit O
05:00;11/11/2023;2,1;Vanuit O
05:00;12/11/2023;1,9;Vanuit O
05:00;13/11/2023;2,45;Vanuit O
05:00;14/11/2023;2,5;Vanuit O
05:00;15/11/2023;2,517;Vanuit O
05:00;16/11/2023;2,883;Vanuit O
05:00;17/11/2023;2,517;Vanuit O
05:00;18/11/2023;2,183;Vanuit O
05:00;19/11/2023;2,183;Vanuit O
05:00;20/11/2023;2,333;Vanuit O
05:00;21/11/2023;3,217;Vanuit O
05:00;22/11/2023;2,417;Vanuit O
05:00;23/11/2023;3;Vanuit O
05:00;24/11/2023;2,717;Vanuit O
05:00;25/11/2023;2,267;Vanuit O
05:00;26/11/2023;2,217;Vanuit O
05:00;27/11/2023;2,433;Vanuit O
05:00;28/11/2023;2,617;Vanuit O
05:00;29/11/2023;2,633;Vanuit O
05:00;30/11/2023;2,75;Vanuit O
05:00;01/12/2023;2,683;Vanuit O
05:00;02/12/2023;2,3;Vanuit O
05:00;03/12/2023;2,033;Vanuit O
05:00;04/12/2023;3,367;Vanuit O
05:00;05/12/2023;2,467;Vanuit O
05:00;06/12/2023;2,5;Vanuit O
05:00;07/12/2023;2,783;Vanuit O
05:00;08/12/2023;2,433;Vanuit O
05:00;09/12/2023;2,217;Vanuit O
05:00;10/12/2023;1,983;Vanuit O
05:00;11/12/2023;3,517;Vanuit O
05:00;12/12/2023;2,917;Vanuit O
05:00;13/12/2023;3,85;Vanuit O
05:00;14/12/2023;2,983;Vanuit O
05:00;15/12/2023;2,767;Vanuit O
05:00;16/12/2023;2,1;Vanuit O
05:00;17/12/2023;2,233;Vanuit O
05:00;18/12/2023;3,05;Vanuit O
05:00;19/12/2023;2,6;Vanuit O
05:00;20/12/2023;3,167;Vanuit O
05:00;21/12/2023;2,833;Vanuit O
05:00;22/12/2023;2,667;Vanuit O
05:00;23/12/2023;2,45;Vanuit O
05:00;24/12/2023;1,967;Vanuit O
05:00;25/12/2023;2,25;Vanuit O
05:00;26/12/2023;3,133;Vanuit O
05:00;27/12/2023;2,533;Vanuit O
05:00;28/12/2023;2,25;Vanuit O
05:00;29/12/2023;2,483;Vanuit O
05:00;30/12/2023;2,117;Vanuit O
05:00;31/12/2023;1,967;Vanuit O
05:00;01/01/2024;1,983;Vanuit O
05:00;02/01/2024;2,983;Vanuit O
05:00;03/01/2024;2,733;Vanuit O
05:00;04/01/2024;2,417;Vanuit O
05:00;05/01/2024;2,517;Vanuit O
05:00;06/01/2024;2;Vanuit O
05:00;07/01/2024;1,933;Vanuit O
05:00;08/01/2024;2,433;Vanuit O
05:00;09/01/2024;2,467;Vanuit O
05:00;10/01/2024;3;Vanuit O
05:00;11/01/2024;2,583;Vanuit O
05:00;12/01/2024;2,85;Vanuit O
05:00;13/01/2024;2,383;Vanuit O
05:00;14/01/2024;2,317;Vanuit O
05:00;15/01/2024;2,817;Vanuit O
05:00;16/01/2024;2,7;Vanuit O
05:00;17/01/2024;2,7;Vanuit O
05:00;18/01/2024;2,55;Vanuit O
05:00;19/01/2024;2,833;Vanuit O
05:00;20/01/2024;2,5;Vanuit O
05:00;22/01/2024;3;Vanuit O
05:00;23/01/2024;2,683;Vanuit O
05:00;24/01/2024;2,95;Vanuit O
05:00;25/01/2024;2,783;Vanuit O
05:00;26/01/2024;2,683;Vanuit O
05:00;27/01/2024;2,367;Vanuit O
05:00;28/01/2024;2;Vanuit O
05:00;29/01/2024;3,083;Vanuit O
05:00;30/01/2024;2,8;Vanuit O
05:00;31/01/2024;2,9;Vanuit O
05:00;01/02/2024;3,283;Vanuit O
05:00;02/02/2024;3;Vanuit O
05:00;03/02/2024;2,183;Vanuit O
05:00;04/02/2024;2;Vanuit O
05:00;05/02/2024;2,933;Vanuit O
05:00;06/02/2024;2,833;Vanuit O
05:00;08/02/2024;2,633;Vanuit O
05:00;09/02/2024;2,833;Vanuit O
05:00;10/02/2024;2,183;Vanuit O
05:00;11/02/2024;2,383;Vanuit O
05:00;12/02/2024;2,733;Vanuit O
05:00;13/02/2024;2,633;Vanuit O
05:00;14/02/2024;2,75;Vanuit O
05:00;15/02/2024;2,883;Vanuit O
05:00;16/02/2024;2,767;Vanuit O
05:00;17/02/2024;2,35;Vanuit O
05:00;18/02/2024;2,433;Vanuit O
05:00;19/02/2024;2,7;Vanuit O
05:00;20/02/2024;2,55;Vanuit O
05:00;21/02/2024;2,683;Vanuit O
05:00;22/02/2024;2,467;Vanuit O
05:00;23/02/2024;2,4;Vanuit O
05:00;24/02/2024;2,2;Vanuit O
05:00;25/02/2024;2,567;Vanuit O
05:00;26/02/2024;2,8;Vanuit O
05:00;27/02/2024;2,4;Vanuit O
05:00;28/02/2024;2,617;Vanuit O
05:00;29/02/2024;3,6;Vanuit O
05:00;01/03/2024;2,6;Vanuit O
05:00;02/03/2024;2,317;Vanuit O
05:00;03/03/2024;1,95;Vanuit O
05:00;04/03/2024;2,65;Vanuit O
05:00;05/03/2024;3,183;Vanuit O
05:00;06/03/2024;2,883;Vanuit O
05:00;07/03/2024;2,817;Vanuit O
05:00;08/03/2024;2,717;Vanuit O
05:00;09/03/2024;1,95;Vanuit O
05:00;10/03/2024;1,967;Vanuit O
05:00;11/03/2024;3,6;Vanuit O
05:00;12/03/2024;3,767;Vanuit O
05:00;13/03/2024;2,8;Vanuit O
05:00;14/03/2024;3,267;Vanuit O
05:00;15/03/2024;3,067;Vanuit O
05:00;16/03/2024;2,333;Vanuit O
05:00;17/03/2024;2,3;Vanuit O
05:00;18/03/2024;3,1;Vanuit O
05:00;19/03/2024;2,883;Vanuit O
05:00;20/03/2024;2,5;Vanuit O
05:00;21/03/2024;2,817;Vanuit O
05:00;22/03/2024;2,95;Vanuit O
05:00;23/03/2024;2,133;Vanuit O
05:00;24/03/2024;2,033;Vanuit O
05:00;25/03/2024;2,867;Vanuit O
05:00;26/03/2024;2,567;Vanuit O
05:00;27/03/2024;2,717;Vanuit O
05:00;28/03/2024;3,217;Vanuit O
05:00;29/03/2024;2,5;Vanuit O
05:00;30/03/2024;2,3;Vanuit O
05:00;31/03/2024;2;Vanuit O
05:00;01/04/2024;1,95;Vanuit O
05:00;02/04/2024;2,783;Vanuit O
05:00;03/04/2024;6,283;Vanuit O
05:00;05/04/2024;3,3;Vanuit O
05:00;06/04/2024;2,2;Vanuit O
05:00;07/04/2024;1,967;Vanuit O
05:00;08/04/2024;3,25;Vanuit O
05:00;09/04/2024;4,417;Vanuit O
05:00;10/04/2024;3,017;Vanuit O
05:00;11/04/2024;2,933;Vanuit O
05:00;12/04/2024;3,15;Vanuit O
05:00;13/04/2024;2,017;Vanuit O
05:00;14/04/2024;1,933;Vanuit O
05:00;15/04/2024;6,883;Vanuit O
05:00;16/04/2024;8,583;Vanuit O
05:00;17/04/2024;8,083;Vanuit O
05:00;18/04/2024;4,867;Vanuit O
05:00;19/04/2024;4,8;Vanuit O
05:00;20/04/2024;2,067;Vanuit O
05:00;21/04/2024;2,067;Vanuit O
05:00;22/04/2024;6,267;Vanuit O
05:00;23/04/2024;6,9;Vanuit O
05:00;24/04/2024;7,333;Vanuit O
05:00;25/04/2024;7,75;Vanuit O
05:00;26/04/2024;7,417;Vanuit O
05:00;27/04/2024;1,867;Vanuit O
05:00;28/04/2024;1,967;Vanuit O
05:00;29/04/2024;5,783;Vanuit O
05:00;30/04/2024;9,35;Vanuit O
05:00;01/05/2024;2,35;Vanuit O
05:00;02/05/2024;4,083;Vanuit O
05:00;03/05/2024;5,65;Vanuit O
05:00;04/05/2024;2;Vanuit O
05:00;05/05/2024;1,933;Vanuit O
05:00;06/05/2024;6,317;Vanuit O
05:00;07/05/2024;8,367;Vanuit O
05:00;08/05/2024;5,267;Vanuit O
05:00;09/05/2024;2,233;Vanuit O
05:00;10/05/2024;2,3;Vanuit O
05:00;11/05/2024;1,983;Vanuit O
05:00;12/05/2024;1,95;Vanuit O
05:00;13/05/2024;6,383;Vanuit O
05:00;14/05/2024;3,683;Vanuit O
05:00;15/05/2024;3,933;Vanuit O
05:00;16/05/2024;8,683;Vanuit O
05:00;17/05/2024;4,517;Vanuit O
05:00;18/05/2024;1,85;Vanuit O
05:00;19/05/2024;1,95;Vanuit O
05:00;20/05/2024;2,083;Vanuit O
05:00;21/05/2024;11,117;Vanuit O
05:00;22/05/2024;9,25;Vanuit O
05:00;23/05/2024;11,667;Vanuit O
05:00;24/05/2024;6,25;Vanuit O
05:00;25/05/2024;1,933;Vanuit O
05:00;26/05/2024;1,95;Vanuit O
05:00;27/05/2024;11,733;Vanuit O
