oorsprong;oorsprong LAT;oorsprong LON;bestemming;bestemming LAT;bestemming LON;vertrektijdstip(epoch);Vertrekdatum;Vertrektijdstip;afstand[km];reistijd (daggemiddelde) [min];reistijd (op gevraagd moment) [min];Traject;Beweging
OWS x Droogdokkenweg;51,23829764;4,403005567;Kastelweg;51,24386465;4,384319502;1728961420;15/10/2024;05:00;1,706;3;2,883333333;OWS x Droogdokkenweg - Kastelweg;O-W
OWS x Droogdokkenweg;51,23829764;4,403005567;Noordkasteelbruggen;51,24458092;4,386368454;1728961420;15/10/2024;05:00;1,593;2,8;2,65;OWS x Droogdokkenweg - Noordkasteelbruggen;O-N
OWS Bushalte F, Maas;51,25432329;4,388436739;Kastelweg;51,24386465;4,384319502;1728961421;15/10/2024;05:00;1,374;2,716666667;2,466666667;OWS Bushalte F, Maas - Kastelweg;N-W
OWS Bushalte F, Maas;51,25432329;4,388436739;OWS;51,24381757;4,386543283;1728961421;15/10/2024;05:00;1,223;2,233333333;2,033333333;OWS Bushalte F, Maas - OWS;N-O
Kastelweg;51,24403791;4,353601947;OWS;51,24381757;4,386543283;1728961421;15/10/2024;05:00;2,297;2,966666667;2,783333333;Kastelweg - OWS;W-O
Kastelweg;51,24403791;4,353601947;Noordkasteelbruggen;51,24458092;4,386368454;1728961421;15/10/2024;05:00;2,357;3,25;3,016666667;Kastelweg - Noordkasteelbruggen;W-N
Noordkasteelbruggen voor;51,24416075;4,386275253;Noordkasteelbruggen na;51,25429542;4,388623387;1728961421;15/10/2024;05:00;1,146;1,833333333;1,7;Noordkasteelbruggen voor - Noordkasteelbruggen na;N-N
OWS x Droogdokkenweg;51,23829764;4,403005567;Kastelweg;51,24386465;4,384319502;1728961720;15/10/2024;05:05;1,706;3;2,933333333;OWS x Droogdokkenweg - Kastelweg;O-W
OWS x Droogdokkenweg;51,23829764;4,403005567;Noordkasteelbruggen;51,24458092;4,386368454;1728961720;15/10/2024;05:05;1,593;2,8;2,683333333;OWS x Droogdokkenweg - Noordkasteelbruggen;O-N
OWS Bushalte F, Maas;51,25432329;4,388436739;Kastelweg;51,24386465;4,384319502;1728961720;15/10/2024;05:05;1,374;2,716666667;2,45;OWS Bushalte F, Maas - Kastelweg;N-W
OWS Bushalte F, Maas;51,25432329;4,388436739;OWS;51,24381757;4,386543283;1728961721;15/10/2024;05:05;1,223;2,233333333;1,983333333;OWS Bushalte F, Maas - OWS;N-O
Kastelweg;51,24403791;4,353601947;OWS;51,24381757;4,386543283;1728961721;15/10/2024;05:05;2,297;2,966666667;2,783333333;Kastelweg - OWS;W-O
Kastelweg;51,24403791;4,353601947;Noordkasteelbruggen;51,24458092;4,386368454;1728961721;15/10/2024;05:05;2,357;3,25;3,016666667;Kastelweg - Noordkasteelbruggen;W-N
Noordkasteelbruggen voor;51,24416075;4,386275253;Noordkasteelbruggen na;51,25429542;4,388623387;1728961721;15/10/2024;05:05;1,146;1,833333333;1,7;Noordkasteelbruggen voor - Noordkasteelbruggen na;N-N
OWS x Droogdokkenweg;51,23829764;4,403005567;Kastelweg;51,24386465;4,384319502;1728962020;15/10/2024;05:10;1,706;3;2,933333333;OWS x Droogdokkenweg - Kastelweg;O-W
OWS x Droogdokkenweg;51,23829764;4,403005567;Noordkasteelbruggen;51,24458092;4,386368454;1728962020;15/10/2024;05:10;1,593;2,8;2,683333333;OWS x Droogdokkenweg - Noordkasteelbruggen;O-N
OWS Bushalte F, Maas;51,25432329;4,388436739;Kastelweg;51,24386465;4,384319502;1728962020;15/10/2024;05:10;1,374;2,716666667;2,433333333;OWS Bushalte F, Maas - Kastelweg;N-W
OWS Bushalte F, Maas;51,25432329;4,388436739;OWS;51,24381757;4,386543283;1728962021;15/10/2024;05:10;1,223;2,233333333;1,983333333;OWS Bushalte F, Maas - OWS;N-O
Kastelweg;51,24403791;4,353601947;OWS;51,24381757;4,386543283;1728962021;15/10/2024;05:10;2,297;2,966666667;2,816666667;Kastelweg - OWS;W-O
Kastelweg;51,24403791;4,353601947;Noordkasteelbruggen;51,24458092;4,386368454;1728962021;15/10/2024;05:10;2,357;3,25;3,05;Kastelweg - Noordkasteelbruggen;W-N
Noordkasteelbruggen voor;51,24416075;4,386275253;Noordkasteelbruggen na;51,25429542;4,388623387;1728962021;15/10/2024;05:10;1,146;1,833333333;1,7;Noordkasteelbruggen voor - Noordkasteelbruggen na;N-N
OWS x Droogdokkenweg;51,23829764;4,403005567;Kastelweg;51,24386465;4,384319502;1728962320;15/10/2024;05:15;1,706;3;2,933333333;OWS x Droogdokkenweg - Kastelweg;O-W
OWS x Droogdokkenweg;51,23829764;4,403005567;Noordkasteelbruggen;51,24458092;4,386368454;1728962320;15/10/2024;05:15;1,593;2,8;2,683333333;OWS x Droogdokkenweg - Noordkasteelbruggen;O-N
OWS Bushalte F, Maas;51,25432329;4,388436739;Kastelweg;51,24386465;4,384319502;1728962320;15/10/2024;05:15;1,374;2,716666667;2,5;OWS Bushalte F, Maas - Kastelweg;N-W
OWS Bushalte F, Maas;51,25432329;4,388436739;OWS;51,24381757;4,386543283;1728962321;15/10/2024;05:15;1,223;2,233333333;2,033333333;OWS Bushalte F, Maas - OWS;N-O
Kastelweg;51,24403791;4,353601947;OWS;51,24381757;4,386543283;1728962321;15/10/2024;05:15;2,297;2,966666667;2,716666667;Kastelweg - OWS;W-O
Kastelweg;51,24403791;4,353601947;Noordkasteelbruggen;51,24458092;4,386368454;1728962321;15/10/2024;05:15;2,357;3,25;2,966666667;Kastelweg - Noordkasteelbruggen;W-N
Noordkasteelbruggen voor;51,24416075;4,386275253;Noordkasteelbruggen na;51,25429542;4,388623387;1728962321;15/10/2024;05:15;1,146;1,833333333;1,683333333;Noordkasteelbruggen voor - Noordkasteelbruggen na;N-N
OWS x Droogdokkenweg;51,23829764;4,403005567;Kastelweg;51,24386465;4,384319502;1728962620;15/10/2024;05:20;1,706;3;2,9;OWS x Droogdokkenweg - Kastelweg;O-W
OWS x Droogdokkenweg;51,23829764;4,403005567;Noordkasteelbruggen;51,24458092;4,386368454;1728962620;15/10/2024;05:20;1,593;2,8;2,666666667;OWS x Droogdokkenweg - Noordkasteelbruggen;O-N
OWS Bushalte F, Maas;51,25432329;4,388436739;Kastelweg;51,24386465;4,384319502;1728962621;15/10/2024;05:20;1,374;2,716666667;2,566666667;OWS Bushalte F, Maas - Kastelweg;N-W
OWS Bushalte F, Maas;51,25432329;4,388436739;OWS;51,24381757;4,386543283;1728962621;15/10/2024;05:20;1,223;2,233333333;2,083333333;OWS Bushalte F, Maas - OWS;N-O
Kastelweg;51,24403791;4,353601947;OWS;51,24381757;4,386543283;1728962621;15/10/2024;05:20;2,297;2,966666667;2,7;Kastelweg - OWS;W-O
Kastelweg;51,24403791;4,353601947;Noordkasteelbruggen;51,24458092;4,386368454;1728962621;15/10/2024;05:20;2,357;3,25;2,933333333;Kastelweg - Noordkasteelbruggen;W-N
Noordkasteelbruggen voor;51,24416075;4,386275253;Noordkasteelbruggen na;51,25429542;4,388623387;1728962621;15/10/2024;05:20;1,146;1,833333333;1,683333333;Noordkasteelbruggen voor - Noordkasteelbruggen na;N-N
OWS x Droogdokkenweg;51,23829764;4,403005567;Kastelweg;51,24386465;4,384319502;1728962920;15/10/2024;05:25;1,706;3;2,983333333;OWS x Droogdokkenweg - Kastelweg;O-W
OWS x Droogdokkenweg;51,23829764;4,403005567;Noordkasteelbruggen;51,24458092;4,386368454;1728962920;15/10/2024;05:25;1,593;2,8;2,75;OWS x Droogdokkenweg - Noordkasteelbruggen;O-N
OWS Bushalte F, Maas;51,25432329;4,388436739;Kastelweg;51,24386465;4,384319502;1728962920;15/10/2024;05:25;1,374;2,716666667;2,65;OWS Bushalte F, Maas - Kastelweg;N-W
OWS Bushalte F, Maas;51,25432329;4,388436739;OWS;51,24381757;4,386543283;1728962921;15/10/2024;05:25;1,223;2,233333333;2,15;OWS Bushalte F, Maas - OWS;N-O
Kastelweg;51,24403791;4,353601947;OWS;51,24381757;4,386543283;1728962921;15/10/2024;05:25;2,297;2,966666667;2,7;Kastelweg - OWS;W-O
Kastelweg;51,24403791;4,353601947;Noordkasteelbruggen;51,24458092;4,386368454;1728962921;15/10/2024;05:25;2,357;3,25;2,95;Kastelweg - Noordkasteelbruggen;W-N
Noordkasteelbruggen voor;51,24416075;4,386275253;Noordkasteelbruggen na;51,25429542;4,388623387;1728962921;15/10/2024;05:25;1,146;1,833333333;1,683333333;Noordkasteelbruggen voor - Noordkasteelbruggen na;N-N
OWS x Droogdokkenweg;51,23829764;4,403005567;Kastelweg;51,24386465;4,384319502;1728963220;15/10/2024;05:30;1,706;3;3,083333333;OWS x Droogdokkenweg - Kastelweg;O-W
OWS x Droogdokkenweg;51,23829764;4,403005567;Noordkasteelbruggen;51,24458092;4,386368454;1728963220;15/10/2024;05:30;1,593;2,8;2,816666667;OWS x Droogdokkenweg - Noordkasteelbruggen;O-N
OWS Bushalte F, Maas;51,25432329;4,388436739;Kastelweg;51,24386465;4,384319502;1728963220;15/10/2024;05:30;1,374;2,716666667;2,716666667;OWS Bushalte F, Maas - Kastelweg;N-W
OWS Bushalte F, Maas;51,25432329;4,388436739;OWS;51,24381757;4,386543283;1728963221;15/10/2024;05:30;1,223;2,233333333;2,216666667;OWS Bushalte F, Maas - OWS;N-O
Kastelweg;51,24403791;4,353601947;OWS;51,24381757;4,386543283;1728963221;15/10/2024;05:30;2,297;2,966666667;2,7;Kastelweg - OWS;W-O
Kastelweg;51,24403791;4,353601947;Noordkasteelbruggen;51,24458092;4,386368454;1728963221;15/10/2024;05:30;2,357;3,25;2,966666667;Kastelweg - Noordkasteelbruggen;W-N
Noordkasteelbruggen voor;51,24416075;4,386275253;Noordkasteelbruggen na;51,25429542;4,388623387;1728963221;15/10/2024;05:30;1,146;1,833333333;1,7;Noordkasteelbruggen voor - Noordkasteelbruggen na;N-N
